% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.208214	5	18	0	5.19289e-10	1.09476e+06	0
0.208214	5	19	0	3.26147e-10	687577	0
0.208214	5	51	0	4.1944e-10	884257	0
0.208214	6	4	0	4.09408e-10	863108	0
0.208214	6	6	0	7.50283e-10	1.58173e+06	0
0.208214	6	41	0	6.74803e-06	1.42261e+10	0
0.208214	7	42	0	6.74803e-06	1.42261e+10	0
0.208214	7	44	0	6.74803e-06	1.42261e+10	0
0.208214	7	50	0	4.00208e-10	843713	0
0.208214	8	16	0	2.4268e-10	511615	0
0.208214	8	17	0	1.70243e-09	3.58904e+06	0
